,,,Slide ID,a,e,b,d,c
,,,Antibody Name,a,e,b,d,c
,,,HUGO ID,a,e,b,d,c
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.41642176650013885,0.10046731654495078,0.9084331015076083,0.33744815849309073,0.38151798609332155
C1,no,Insulin,0.5050505050505051,0.1280227884144097,0.07969384711648635,0.6061573097231937,0.2747408749502044,0.22410895919956783
C1,no,Insulin,1.0101010101010102,0.05776346516799295,0.06741183691772194,0.4124380260921654,0.23634754908866062,0.15591546654386662
C1,no,Insulin,1.5151515151515151,0.038533667540128894,0.05947456003783819,0.28931049568088335,0.2055499632507523,0.12371090661678649
C1,no,Insulin,2.0202020202020203,0.031573186862192876,0.053692426541523,0.2116136285169814,0.17913619764406066,0.10757841487427923
C1,no,Insulin,2.5252525252525255,0.027820048913524475,0.04907868166765527,0.16289724108609765,0.15716851338612442,0.09926155179157417
C1,no,Insulin,3.0303030303030303,0.02515163729661575,0.045254389933813,0.1325372741672148,0.13978639848888616,0.09498484308530154
C1,no,Insulin,3.5353535353535355,0.02307061234515954,0.04209442755403304,0.11373655587761942,0.12668378171562256,0.0928717169079761
C1,no,Insulin,4.040404040404041,0.021445235355861056,0.039549190013805614,0.10217644573366289,0.11723106562444885,0.09192803204645804
C1,no,Insulin,4.545454545454546,0.020210427563333102,0.037569166795361306,0.09512749445944216,0.11067212089137726,0.09160437603044858
C1,no,Insulin,5.050505050505051,0.019303873237209158,0.036084537089496896,0.09087219171353617,0.1062744350397486,0.09159120146047604
C1,no,Insulin,5.555555555555556,0.018660225833961812,0.03501008536762361,0.08833438540981524,0.10341345809959789,0.09171516394231748
C1,no,Insulin,6.0606060606060606,0.018217097853080788,0.034257461468675914,0.08684307797216975,0.10160161548593337,0.0918825941215298
C1,no,Insulin,6.565656565656566,0.01792042035838075,0.033745665005259995,0.0859824610231836,0.10048219845281954,0.09204658588155872
C1,no,Insulin,7.070707070707071,0.017726796936330058,0.033406892815173964,0.0854968749070346,0.09980679439787918,0.09218701147283354
C1,no,Insulin,7.575757575757576,0.017603400311805923,0.033188155181719116,0.08523069064196381,0.09940897333859432,0.09229826394636026
C1,no,Insulin,8.080808080808081,0.017526532266309788,0.033050196522154955,0.08509031135382916,0.09918065575727114,0.09238187792906062
C1,no,Insulin,8.585858585858587,0.017479721298764024,0.03296514966405595,0.08502029055942592,0.09905348673106219,0.092442297435428
C1,no,Insulin,9.090909090909092,0.01745187724422742,0.03291391990810513,0.08498836707955962,0.09898524903198513,0.09248461164135431
