,,,Slide ID,A,B,C,D,
,,,Antibody Name,A,B,C,D,
,,,HUGO ID,A,B,C,D,
CellLine,Inhibitor,Stimulus,Timepoint,,,,,
C1,no,no,2.5,0.4744341839,0.5650328782,0.331187205,0.7595899528,
C1,no,no,2.6,0.4831617717,0.577146012,0.3204283958,0.7755183965,
C1,no,no,2.7,0.4920411459,0.5893517622,0.3094522009,0.7915941418,
C1,no,no,2.8,0.501036314,0.6015903967,0.2983273873,0.8076426547,
C1,no,no,2.9,0.5101102538,0.6138019194,0.2871328797,0.8234875454,
C1,no,no,3,0.5192255879,0.6259274774,0.2759529565,0.8389574357,
C1,no,no,3.1,0.528345256,0.6379106641,0.2648726736,0.8538934556,
C1,no,no,3.2,0.5374331461,0.6496986656,0.2539739229,0.8681563158,
C1,no,no,3.3,0.5464546671,0.6612431899,0.2433321472,0.8816318029,
C1,no,no,3.4,0.5553772268,0.6725011508,0.2330139519,0.8942340151,
C1,no,no,3.5,0.5641706605,0.6834351896,0.2230753288,0.9059066765,
C1,no,no,3.6,0.5728075228,0.6940139016,0.2135609095,0.916621835,
C1,no,no,3.7,0.5812632669,0.7042118355,0.2045041672,0.9263769673,
C1,no,no,3.8,0.5895163685,0.7140093874,0.1959276376,0.9351912486,
C1,no,no,3.9,0.5975483632,0.7233925337,0.1878437142,0.9431012111,
C1,no,no,4,0.6053438066,0.7323524325,0.1802559375,0.9501562886,
C1,no,no,4.1,0.6128901772,0.7408849536,0.1731603514,0.956414675,
C1,no,no,4.2,0.6201777343,0.748990172,0.1665467257,0.9619396363,
C1,no,no,4.3,0.6271993386,0.7566718254,0.1603999152,0.9667965461,
C1,no,no,4.4,0.6339502537,0.7639367819,0.1547010699,0.9710504986,
C1,no,no,4.5,0.6404279313,0.770794522,0.1494286884,0.9747645187,
C1,no,no,4.6,0.6466317846,0.7772566406,0.1445595535,0.9779983042,
C1,no,no,4.7,0.6525629882,0.7833364374,0.1400694522,0.9808075034,
C1,no,no,4.8,0.6582242171,0.7890484235,0.1359339462,0.9832431453,
C1,no,no,4.9,0.6636194825,0.7944080461,0.1321287223,0.9853515885,
C1,no,no,5,0.6687539199,0.7994313405,0.1286300373,0.9871745006,
C1,no,no,5.1,0.6736336034,0.8041346528,0.1254150075,0.988749032,
C1,no,no,5.2,0.6782653779,0.8085344133,0.1224618022,0.9901080795,
C1,no,no,5.3,0.6826567032,0.8126469468,0.1197497673,0.9912806153,
C1,no,no,5.4,0.6868155054,0.8164883074,0.1172595054,0.9922920546,
C1,no,no,5.5,0.6907501168,0.8200742228,0.1149728776,0.9931644483,
C1,no,no,5.6,0.6944690695,0.8234198871,0.1128730496,0.9939170886,
C1,no,no,5.7,0.6979810571,0.8265399626,0.1109444206,0.9945666875,
C1,no,no,5.8,0.7012948567,0.8294485204,0.1091726073,0.9951276346,
C1,no,no,5.9,0.7044192257,0.8321590665,0.1075442332,0.9956126265,
C1,no,no,6,0.707362837,0.8346841375,0.1060475498,0.9960317299,
C1,no,no,6.1,0.7101342978,0.8370360815,0.1046710408,0.9963947557,
C1,no,no,6.2,0.712742011,0.8392262766,0.1034046238,0.9967094548,
C1,no,no,6.3,0.7151942025,0.8412655351,0.1022389808,0.9969826295,
C1,no,no,6.4,0.7174988753,0.843164023,0.1011656106,0.9972200969,
C1,no,no,6.5,0.7196637907,0.8449312976,0.1001767413,0.997426853,
C1,no,no,6.6,0.7216964379,0.8465763014,0.0992653055,0.9976071535,
C1,no,no,6.7,0.7236040388,0.8481074256,0.0984248369,0.9977646636,
C1,no,no,6.8,0.7253935346,0.8495325232,0.0976494309,0.997902531,
C1,no,no,6.9,0.7270715781,0.8508589243,0.0969337135,0.9980234365,
C1,no,no,7,0.7286445387,0.8520934732,0.0962727818,0.9981296813,
C1,no,no,7.1,0.7301184754,0.8532424999,0.0956622229,0.9982231821,
C1,no,no,7.2,0.7314991812,0.8543119793,0.095097914,0.9983056666,
C1,no,no,7.3,0.7327921641,0.855307463,0.0945761092,0.9983785964,
C1,no,no,7.4,0.7340026576,0.8562341103,0.0940934011,0.9984432199,
C1,no,no,7.5,0.7351356281,0.8570967197,0.0936466814,0.9985006051,
C1,no,no,7.6,0.7361957811,0.8578997495,0.0932331163,0.9985516654,
C1,no,no,7.7,0.7371875733,0.8586473663,0.0928500873,0.9985972064,
C1,no,no,7.8,0.7381152068,0.8593434146,0.0924952304,0.998637893,
C1,no,no,7.9,0.7389826644,0.8599915056,0.0921663402,0.9986743327,
C1,no,no,8,0.7397936908,0.8605949692,0.0918614221,0.9987070293,
C1,no,no,8.1,0.7405518309,0.8611569245,0.0915786263,0.9987364354,
C1,no,no,8.2,0.7412604114,0.8616802469,0.0913162779,0.9987629282,
C1,no,no,8.3,0.7419225771,0.8621676308,0.0910728195,0.9987868472,
C1,no,no,8.4,0.7425412745,0.8626215606,0.0908468375,0.9988084769,
C1,no,no,8.5,0.7431192858,0.8630443654,0.0906370144,0.9988280753,
C1,no,no,8.6,0.7436592138,0.863438195,0.0904421505,0.998845861,
C1,no,no,8.7,0.7441635144,0.8638050622,0.0902611304,0.9988620311,
C1,no,no,8.8,0.7446344822,0.8641468246,0.0900929375,0.9988767531,
C1,no,no,8.9,0.7450742801,0.8644652214,0.0899366257,0.9988901784,
C1,no,no,9,0.7454849286,0.8647618607,0.0897913296,0.9989024376,
C1,no,no,9.1,0.7458683287,0.8650382457,0.0896562448,0.9989136479,
C1,no,no,9.2,0.7462262567,0.865295769,0.0895306318,0.9989239118,
C1,no,no,9.3,0.7465603804,0.8655357298,0.0894138055,0.9989333208,
C1,no,no,9.4,0.7468722598,0.8657593345,0.089305134,0.9989419559,
