,,,Slide ID,a,e,b,d,c
,,,Antibody Name,a,e,b,d,c
,,,HUGO ID,a,e,b,d,c
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.7974028592548131,0.8560754947841709,0.26317388188422064,0.2586666971977214,0.8118620479296476
C1,no,Insulin,0.5050505050505051,0.2493433386060243,0.39378138539851865,0.2610102213818067,0.35803275640054066,0.38393727645195125
C1,no,Insulin,1.0101010101010102,0.09750684603838408,0.2551077858804332,0.234700137107681,0.33328306563367116,0.19676220307534234
C1,no,Insulin,1.5151515151515151,0.05283375365896672,0.21116913677731636,0.21529177169028946,0.2829369613248937,0.11262199945786232
C1,no,Insulin,2.0202020202020203,0.03786532622260629,0.19836944190332756,0.20613672489661347,0.23749893989200013,0.07361640178277096
C1,no,Insulin,2.5252525252525255,0.031736197433520574,0.19630124466118506,0.20389031857455386,0.20426674445373338,0.05491171599681126
C1,no,Insulin,3.0303030303030303,0.028689405493287606,0.19758710979770425,0.20499088451189773,0.18248399608976962,0.04563630635772041
C1,no,Insulin,3.5353535353535355,0.02699872230015572,0.19948874255438803,0.20714584412223508,0.16916309472943686,0.04090693262114818
C1,no,Insulin,4.040404040404041,0.026031512582617298,0.20110100588796076,0.20923134946812333,0.16138676195264462,0.03845142882082951
C1,no,Insulin,4.545454545454546,0.025483653097829233,0.20224132542164075,0.21085487153867108,0.15699159911935293,0.037166384276091334
C1,no,Insulin,5.050505050505051,0.025180475329826046,0.20297472113454598,0.21198218113537592,0.1545660257217029,0.03649399692010663
C1,no,Insulin,5.555555555555556,0.025016831981442906,0.20341901868176118,0.2127101976624427,0.15325252380631632,0.036144115422006594
C1,no,Insulin,6.0606060606060606,0.02493049451841855,0.20367723662101117,0.21315710568650256,0.1525525812523737,0.03596364476656808
C1,no,Insulin,6.565656565656566,0.024885849966952655,0.2038227484684923,0.2134212671759797,0.1521849504390603,0.03587154130476238
C1,no,Insulin,7.070707070707071,0.02486317738578339,0.20390278146856358,0.21357285248433092,0.15199447376794092,0.03582509096768408
C1,no,Insulin,7.575757575757576,0.0248518547923181,0.20394592516406332,0.2136577585265341,0.15189708058737322,0.03580196227999429
C1,no,Insulin,8.080808080808081,0.024846289747108348,0.20396878865052342,0.21370436215010366,0.15184791913803142,0.03579059966330991
C1,no,Insulin,8.585858585858587,0.02484359982585439,0.20398071789194544,0.21372949146629316,0.1518234354787118,0.03578510044976542
C1,no,Insulin,9.090909090909092,0.02484232206244377,0.20398685373513067,0.21374282880518236,0.1518114089325771,0.03578248116128637
