,,,Slide ID,G4,G2,G6,G7,G1,G5,G8,G3,G9,G10
,,,Antibody Name,G4,G2,G6,G7,G1,G5,G8,G3,G9,G10
,,,HUGO ID,G4,G2,G6,G7,G1,G5,G8,G3,G9,G10
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.8783101063335631,0.9117844751878484,0.7445026820849826,0.6956213909527164,0.19366307240738023,0.77677973503418,0.5447658586894597,0.47941146649654187,0.07675597554722458,0.7989665164831115
C1,no,Insulin,0.5050505050505051,0.8357932469360947,0.7907975432576219,0.7264411434619485,0.48845574704043115,0.14925504904616788,0.2749596060931032,0.4744055881538666,0.7918788220223626,0.41972451164823976,0.778956858888846
C1,no,Insulin,1.0101010101010102,0.8157491815101291,0.7563734267760118,0.7157968664596732,0.4495622707235054,0.11854794183913002,0.13204282864773026,0.4649450927013938,0.9167972001125307,0.5304927102878523,0.7731115110284418
C1,no,Insulin,1.5151515151515151,0.8058269440998805,0.7443575147496277,0.7098058969519093,0.4417653120881757,0.09896232656408878,0.0875517446521698,0.4642615839612315,0.9667371379268553,0.5649738920454968,0.7709978962764247
C1,no,Insulin,2.0202020202020203,0.8007786569546724,0.7397094153972901,0.7066538734096863,0.44010467193274105,0.08780878971211861,0.07266820936647381,0.464599123162777,0.9867021540113402,0.5754392504476855,0.7701500066922954
C1,no,Insulin,2.5252525252525255,0.7981593861127029,0.7378952995596455,0.7050867560530568,0.4397550146616118,0.08201936193180406,0.06748068983475246,0.4648806124887125,0.9946837795280611,0.5785706359389139,0.7698139082000466
C1,no,Insulin,3.0303030303030303,0.7967798561979236,0.7372018037229383,0.704337722248368,0.43970026009506075,0.07920695111496757,0.06563964828416323,0.46503946804800084,0.9978746788488896,0.5795025451857806,0.7696940740451952
C1,no,Insulin,3.5353535353535355,0.7960447756762135,0.7369419053512333,0.703989004306033,0.4397062579157441,0.07790212225893328,0.06498198325830189,0.465121149684636,0.9991503388142685,0.5797795115011108,0.7696621302548317
C1,no,Insulin,4.040404040404041,0.7956495630743142,0.7368457125399519,0.7038295553292289,0.43971877883342675,0.07731586194535169,0.06474671340050638,0.4651617153623415,0.9996603222757491,0.57986147822488,0.7696622427856459
C1,no,Insulin,4.545454545454546,0.7954356243121755,0.7368103142487124,0.7037575869043503,0.4397276050535573,0.07705833504490602,0.06466264562228369,0.4651814994292624,0.9998642031179187,0.5798852624705876,0.7696713437366698
C1,no,Insulin,5.050505050505051,0.7953192177421525,0.7367972957039083,0.7037254207960136,0.4397325914532132,0.07694697994754704,0.0646327026082364,0.46519103171533804,0.9999457098397718,0.5798917344806578,0.7696808715123791
C1,no,Insulin,5.555555555555556,0.7952556362796736,0.7367924903122122,0.7037111556849358,0.4397351419082217,0.0768993326718707,0.06462209958958,0.46519558434572483,0.9999782955641666,0.5798931659143117,0.7696883277852928
C1,no,Insulin,6.0606060606060606,0.7952208093941445,0.7367907033954623,0.7037048703882518,0.43973637441460794,0.07687907073574468,0.06461838339054178,0.4651977461413596,0.9999913230358676,0.5798932349050678,0.7696934949777787
C1,no,Insulin,6.565656565656566,0.7952016927965906,0.7367900313736425,0.703702116829747,0.4397369487766435,0.07687047405201103,0.06461710393383974,0.4651987700997416,0.9999965314440501,0.5798930179020693,0.7696968420925707
C1,no,Insulin,7.070707070707071,0.795191183141385,0.7367897746119805,0.7037009169378006,0.4397372100448814,0.07686682145785574,0.06461667754360313,0.4651992556619995,0.9999986135103512,0.5798928034494369,0.7696989193822119
C1,no,Insulin,7.575757575757576,0.7951854011120001,0.7367896746167969,0.7037003974438629,0.4397373268389277,0.0768652631530449,0.06461654403470489,0.4651994868426691,0.9999994448760384,0.5798926487566182,0.7697001711172732
C1,no,Insulin,8.080808080808081,0.7951822176321952,0.7367896344691529,0.7037001735740467,0.4397373785911729,0.07686459109918076,0.0646165072693522,0.4651995979058758,0.99999977754101,0.5798925490333232,0.7697009094008249
C1,no,Insulin,8.585858585858587,0.795180461353437,0.736789617763613,0.7037000772641117,0.43973740150462415,0.07686429591504723,0.06461650011418994,0.46519965205468816,0.9999999118290437,0.579892488411818,0.7697013384969047
C1,no,Insulin,9.090909090909092,0.79517949306963,0.7367896106353496,0.7037000364402901,0.43973741164111474,0.07686416514768915,0.06461650152245342,0.46519967873997015,0.9999999651487184,0.5798924524864895,0.7697015849886405
C1,no,Insulin,9.595959595959597,0.7951789575263606,0.7367896075254664,0.7037000192348439,0.4397374161553166,0.07686410575005014,0.06461650414897542,0.4651996921440468,0.9999999865580246,0.5798924317161814,0.7697017256821316
C1,no,Insulin,10.101010101010102,0.7951786600545463,0.7367896060935761,0.7037000121491341,0.43973741818833195,0.07686407836939858,0.06461650646410133,0.46519969898670627,0.9999999948755671,0.5798924197274027,0.7697018058436542
C1,no,Insulin,10.606060606060607,0.7951784988526137,0.7367896053675642,0.7037000095633603,0.43973741904891894,0.07686406616275185,0.0646165080572686,0.46519970239637537,0.9999999977653107,0.5798924130234568,0.7697018503157855
C1,no,Insulin,11.111111111111112,0.7951784113839743,0.7367896050670418,0.7037000086743045,0.4397374194244618,0.07686406052806424,0.06461650902425443,0.46519970413676465,0.9999999987549685,0.5798924093500375,0.7697018748558448
C1,no,Insulin,11.616161616161618,0.7951783626317872,0.7367896050077974,0.7037000082444478,0.4397374196338859,0.0768640573334627,0.0646165095370499,0.46519970510613046,0.9999999993566802,0.5798924073252354,0.7697018885736205
C1,no,Insulin,12.121212121212121,0.7951783356033433,0.7367896050459006,0.7037000080315623,0.43973741975241143,0.07686405550197985,0.06461650980874208,0.4651997056450993,0.9999999997282483,0.5798924061972489,0.7697018961925887
C1,no,Insulin,12.626262626262626,0.7951783203563842,0.7367896050395335,0.7037000079361024,0.4397374198159513,0.07686405452907553,0.06461650997812558,0.46519970594540977,0.9999999998930078,0.5798924055401102,0.7697019005125092
C1,no,Insulin,13.131313131313131,0.7951783117016212,0.7367896049129666,0.7037000078886443,0.43973741984930215,0.07686405404340838,0.06461651009299173,0.4651997061134841,0.9999999999394563,0.5798924051596785,0.7697019029795081
C1,no,Insulin,13.636363636363637,0.7951783068162565,0.7367896047080094,0.7037000078543127,0.43973741986634346,0.07686405378238585,0.06461651016255641,0.46519970620642553,0.999999999957425,0.5798924049527807,0.769701904376964
C1,no,Insulin,14.141414141414142,0.7951783040682135,0.7367896045603309,0.7037000078329967,0.4397374198734482,0.07686405362472681,0.06461651019666217,0.46519970625602436,0.9999999999776924,0.5798924048440299,0.7697019051645766
C1,no,Insulin,14.646464646464647,0.7951783021686083,0.7367896044858538,0.7037000078219243,0.43973741987796644,0.07686405351352817,0.06461651021809658,0.46519970628983465,0.99999999999432,0.579892404769634,0.7697019057096648
C1,no,Insulin,15.151515151515152,0.7951783006727786,0.7367896044120694,0.703700007811952,0.43973741988234183,0.07686405342801109,0.06461651023655321,0.46519970631695734,1.0000000000052365,0.5798924047107442,0.7697019061390845
C1,no,Insulin,15.656565656565657,0.7951782998801968,0.7367896044500972,0.7037000078161544,0.4397374198853287,0.07686405338578645,0.06461651024502023,0.4651997063319464,1.0000000000097666,0.5798924046771546,0.7697019063674579
C1,no,Insulin,16.161616161616163,0.7951782997908632,0.7367896045999373,0.7037000078345316,0.4397374198869271,0.07686405338685423,0.06461651024349764,0.4651997063348018,1.0000000000079103,0.5798924046688653,0.7697019063947852
C1,no,Insulin,16.666666666666668,0.7951782995620827,0.7367896046632405,0.7037000078423239,0.4397374198882122,0.07686405337695168,0.06461651024510537,0.4651997063395348,1.0000000000082168,0.5798924046573813,0.7697019064613873
C1,no,Insulin,17.171717171717173,0.7951782994194113,0.7367896046930974,0.7037000078461586,0.43973741988889614,0.07686405337060277,0.06461651024633171,0.4651997063423951,1.0000000000083975,0.5798924046503298,0.7697019065029396
C1,no,Insulin,17.67676767676768,0.7951782995169236,0.736789604725773,0.7037000078505626,0.43973741988878245,0.07686405337772868,0.0646165102447779,0.465199706340821,1.0000000000068894,0.5798924046529205,0.7697019064755031
C1,no,Insulin,18.181818181818183,0.7951782995848914,0.736789604800848,0.7037000078606689,0.4397374198890528,0.07686405338568086,0.06461651024303317,0.46519970634010466,1.0000000000043212,0.5798924046525153,0.7697019064574184
C1,no,Insulin,18.68686868686869,0.7951782997631913,0.7367896047957821,0.7037000078600399,0.439737419888412,0.07686405339509104,0.06461651024102655,0.4651997063367564,1.0000000000033926,0.5798924046599873,0.7697019064059935
C1,no,Insulin,19.191919191919194,0.7951782999414913,0.7367896047907163,0.7037000078594109,0.43973741988777115,0.07686405340450123,0.06461651023901993,0.4651997063334081,1.0000000000024638,0.5798924046674592,0.7697019063545685
C1,no,Insulin,19.6969696969697,0.7951783001197912,0.7367896047856505,0.703700007858782,0.43973741988713033,0.0768640534139114,0.06461651023701331,0.4651997063300598,1.000000000001535,0.5798924046749311,0.7697019063031435
C1,no,Insulin,20.202020202020204,0.7951783002241418,0.7367896047827664,0.7037000078584151,0.439737419886757,0.0768640534194095,0.06461651023583484,0.4651997063281016,1.0000000000009988,0.5798924046793063,0.7697019062730411
C1,no,Insulin,20.70707070707071,0.7951783002335746,0.7367896047826828,0.7037000078583852,0.43973741988672715,0.07686405341988617,0.06461651023571933,0.46519970632792745,1.0000000000009661,0.5798924046797066,0.7697019062703079
C1,no,Insulin,21.212121212121215,0.7951783002430074,0.7367896047825994,0.7037000078583551,0.4397374198866973,0.07686405342036286,0.06461651023560383,0.46519970632775337,1.0000000000009337,0.5798924046801069,0.7697019062675746
C1,no,Insulin,21.71717171717172,0.7951783002524401,0.7367896047825158,0.7037000078583251,0.4397374198866674,0.07686405342083953,0.06461651023548833,0.4651997063275793,1.0000000000009013,0.5798924046805073,0.7697019062648413
C1,no,Insulin,22.222222222222225,0.7951783002618729,0.7367896047824322,0.7037000078582951,0.43973741988663756,0.0768640534213162,0.06461651023537282,0.46519970632740515,1.0000000000008689,0.5798924046809076,0.769701906262108
C1,no,Insulin,22.72727272727273,0.7951783002713056,0.7367896047823486,0.703700007858265,0.43973741988660764,0.07686405342179288,0.06461651023525732,0.46519970632723107,1.0000000000008364,0.579892404681308,0.7697019062593747
C1,no,Insulin,23.232323232323235,0.7951783002807384,0.7367896047822651,0.703700007858235,0.4397374198865778,0.07686405342226955,0.06461651023514181,0.4651997063270569,1.000000000000804,0.5798924046817083,0.7697019062566415
C1,no,Insulin,23.73737373737374,0.7951783002901711,0.7367896047821815,0.703700007858205,0.4397374198865479,0.07686405342274623,0.0646165102350263,0.46519970632688284,1.0000000000007716,0.5798924046821087,0.7697019062539081
C1,no,Insulin,24.242424242424242,0.7951783002996039,0.7367896047820979,0.703700007858175,0.43973741988651804,0.07686405342322292,0.0646165102349108,0.46519970632670876,1.000000000000739,0.579892404682509,0.7697019062511748
C1,no,Insulin,24.747474747474747,0.7951783003090367,0.7367896047820144,0.703700007858145,0.4397374198864882,0.07686405342369959,0.0646165102347953,0.4651997063265346,1.0000000000007065,0.5798924046829094,0.7697019062484416
C1,no,Insulin,25.252525252525253,0.7951783003184694,0.7367896047819308,0.7037000078581149,0.4397374198864583,0.07686405342417627,0.06461651023467978,0.46519970632636054,1.0000000000006741,0.5798924046833098,0.7697019062457083
C1,no,Insulin,25.757575757575758,0.7951783003279022,0.7367896047818472,0.703700007858085,0.4397374198864284,0.07686405342465294,0.06461651023456427,0.4651997063261864,1.0000000000006417,0.5798924046837102,0.769701906242975
C1,no,Insulin,26.262626262626263,0.7951783003373349,0.7367896047817637,0.7037000078580549,0.43973741988639853,0.07686405342512961,0.06461651023444877,0.4651997063260123,1.0000000000006093,0.5798924046841105,0.7697019062402417
C1,no,Insulin,26.767676767676768,0.7951783003467677,0.7367896047816801,0.7037000078580249,0.43973741988636866,0.07686405342560629,0.06461651023433326,0.46519970632583824,1.0000000000005769,0.5798924046845109,0.7697019062375084
C1,no,Insulin,27.272727272727273,0.7951783003562004,0.7367896047815965,0.7037000078579948,0.4397374198863388,0.07686405342608298,0.06461651023421776,0.4651997063256641,1.0000000000005442,0.5798924046849112,0.7697019062347752
C1,no,Insulin,27.77777777777778,0.7951783003656332,0.736789604781513,0.7037000078579648,0.43973741988630893,0.07686405342655965,0.06461651023410225,0.46519970632549,1.0000000000005118,0.5798924046853116,0.7697019062320419
C1,no,Insulin,28.282828282828284,0.795178300375066,0.7367896047814294,0.7037000078579349,0.439737419886279,0.07686405342703632,0.06461651023398675,0.46519970632531593,1.0000000000004794,0.5798924046857119,0.7697019062293086
C1,no,Insulin,28.78787878787879,0.7951783003844987,0.7367896047813458,0.7037000078579048,0.43973741988624915,0.076864053427513,0.06461651023387124,0.4651997063251418,1.000000000000447,0.5798924046861123,0.7697019062265753
C1,no,Insulin,29.292929292929294,0.7951783003939314,0.7367896047812622,0.7037000078578748,0.4397374198862193,0.07686405342798967,0.06461651023375574,0.4651997063249677,1.0000000000004146,0.5798924046865126,0.769701906223842
C1,no,Insulin,29.7979797979798,0.7951783004033642,0.7367896047811787,0.7037000078578447,0.4397374198861894,0.07686405342846635,0.06461651023364023,0.46519970632479357,1.0000000000003821,0.5798924046869129,0.7697019062211088
C1,no,Insulin,30.303030303030305,0.7951783004127969,0.7367896047810951,0.7037000078578147,0.43973741988615955,0.07686405342894304,0.06461651023352473,0.4651997063246195,1.0000000000003497,0.5798924046873133,0.7697019062183754
C1,no,Insulin,30.80808080808081,0.7951783004222297,0.7367896047810115,0.7037000078577847,0.43973741988612963,0.07686405342941971,0.06461651023340922,0.4651997063244454,1.000000000000317,0.5798924046877136,0.7697019062156422
C1,no,Insulin,31.313131313131315,0.7951783004316625,0.736789604780928,0.7037000078577547,0.43973741988609977,0.07686405342989638,0.06461651023329372,0.46519970632427127,1.0000000000002847,0.579892404688114,0.7697019062129089
C1,no,Insulin,31.81818181818182,0.7951783004410953,0.7367896047808444,0.7037000078577247,0.4397374198860699,0.07686405343037306,0.06461651023317821,0.4651997063240972,1.0000000000002522,0.5798924046885143,0.7697019062101756
C1,no,Insulin,32.323232323232325,0.795178300450528,0.7367896047807608,0.7037000078576946,0.43973741988604004,0.07686405343084973,0.06461651023306271,0.46519970632392305,1.0000000000002198,0.5798924046889147,0.7697019062074423
C1,no,Insulin,32.82828282828283,0.7951783004599607,0.7367896047806773,0.7037000078576646,0.4397374198860102,0.0768640534313264,0.0646165102329472,0.46519970632374896,1.0000000000001874,0.579892404689315,0.769701906204709
C1,no,Insulin,33.333333333333336,0.7951783004693935,0.7367896047805937,0.7037000078576346,0.43973741988598025,0.0768640534318031,0.06461651023283169,0.4651997063235749,1.000000000000155,0.5798924046897154,0.7697019062019758
C1,no,Insulin,33.83838383838384,0.7951783004788262,0.7367896047805101,0.7037000078576046,0.4397374198859504,0.07686405343227977,0.06461651023271618,0.46519970632340074,1.0000000000001223,0.5798924046901157,0.7697019061992425
