NON $ % + - . 0
#NON	a	d	c	b	e	f
14.141414141414142	1.6467171847636162e-09	1.2663748282416618e-09	6.23961268266027e-11	9.695731448878991e-05	9.22142791128008e-05	1.9937317468552168e-10
14.646464646464647	7.846733615952819e-10	5.888879680279383e-10	2.7418928443287896e-11	6.771617972752435e-05	6.54071040514528e-05	9.008601499729352e-11
15.151515151515152	3.7448356197839374e-10	2.745138244760462e-10	1.2103621982782303e-11	4.721006833538657e-05	4.632852611543816e-05	4.0843038593308084e-11
15.656565656565657	1.7828243303226297e-10	1.2764400240406207e-10	5.3249409328940954e-12	3.2870529589213685e-05	3.280121399658809e-05	1.846337867694861e-11
16.161616161616163	8.409891308204673e-11	5.873967517879697e-11	2.3095342011910627e-12	2.2859260632106282e-05	2.3227289247961723e-05	8.24495983214614e-12
16.666666666666668	3.974213428446362e-11	2.7103021708018506e-11	1.0073162920937646e-12	1.5862740465637527e-05	1.637859350364029e-05	3.695995185079029e-12
17.171717171717173	1.8735364776597242e-11	1.2469910724346103e-11	4.372643252423197e-13	1.0992550014072192e-05	1.1542991958380405e-05	1.6506488615639641e-12
17.67676767676768	8.925416634330822e-12	5.810969887004625e-12	1.935262897467871e-13	7.611795652081402e-06	8.134362021668376e-06	7.489214381944157e-13
18.181818181818183	4.303303903617138e-12	2.7464639456171838e-12	8.72616730300287e-14	5.274182860556667e-06	5.75200866565711e-06	3.454656808131976e-13
18.68686868686869	2.084923505238763e-12	1.3050925926551846e-12	3.956295437704137e-14	3.6496937502108366e-06	4.051766095813862e-06	1.6025333611615595e-13
19.191919191919194	9.752912974321054e-13	5.952778343358146e-13	1.6965757840017995e-14	2.513695103672677e-06	2.825377212176839e-06	7.080545350134502e-14
19.6969696969697	3.9356746814523753e-13	2.2704219392472117e-13	5.521163593940927e-15	1.7273550354983171e-06	1.9845295872158952e-06	2.4986903970251176e-14
20.202020202020204	1.6382703613654326e-13	8.885796220998904e-14	1.7519535992536882e-15	1.203162309144902e-06	1.4207569029952412e-06	8.892750546512568e-15
20.70707070707071	7.444727882305075e-14	3.9443457847001566e-14	7.824846700700765e-16	8.073732250964029e-07	9.246914218224595e-07	3.890881810645881e-15
21.212121212121215	3.412424166277377e-14	1.7688304539745053e-14	3.42705690103975e-16	5.429985550360606e-07	6.257037332202552e-07	1.714113708388733e-15
21.71717171717172	1.7966255948567762e-14	9.281046752978073e-15	1.7228421920890395e-16	3.6631759824578745e-07	4.261629172868558e-07	8.920743706206642e-16
22.222222222222225	nan	nan	nan	nan	nan	nan
22.72727272727273	nan	nan	nan	nan	nan	nan
23.232323232323235	nan	nan	nan	nan	nan	nan
23.73737373737374	nan	nan	nan	nan	nan	nan
24.242424242424242	nan	nan	nan	nan	nan	nan
24.747474747474747	nan	nan	nan	nan	nan	nan
25.252525252525253	nan	nan	nan	nan	nan	nan
25.757575757575758	nan	nan	nan	nan	nan	nan
26.262626262626263	nan	nan	nan	nan	nan	nan
26.767676767676768	nan	nan	nan	nan	nan	nan
27.272727272727273	nan	nan	nan	nan	nan	nan
27.77777777777778	nan	nan	nan	nan	nan	nan
28.282828282828284	nan	nan	nan	nan	nan	nan
28.78787878787879	nan	nan	nan	nan	nan	nan
29.292929292929294	nan	nan	nan	nan	nan	nan
29.7979797979798	nan	nan	nan	nan	nan	nan
30.303030303030305	nan	nan	nan	nan	nan	nan
30.80808080808081	nan	nan	nan	nan	nan	nan
31.313131313131315	nan	nan	nan	nan	nan	nan
31.81818181818182	nan	nan	nan	nan	nan	nan
32.323232323232325	nan	nan	nan	nan	nan	nan
32.82828282828283	nan	nan	nan	nan	nan	nan
33.333333333333336	nan	nan	nan	nan	nan	nan
33.83838383838384	nan	nan	nan	nan	nan	nan
34.343434343434346	nan	nan	nan	nan	nan	nan
34.84848484848485	nan	nan	nan	nan	nan	nan
35.35353535353536	nan	nan	nan	nan	nan	nan
35.85858585858586	nan	nan	nan	nan	nan	nan
36.36363636363637	nan	nan	nan	nan	nan	nan
36.86868686868687	nan	nan	nan	nan	nan	nan
37.37373737373738	nan	nan	nan	nan	nan	nan
37.87878787878788	nan	nan	nan	nan	nan	nan
38.38383838383839	nan	nan	nan	nan	nan	nan
38.88888888888889	nan	nan	nan	nan	nan	nan
39.3939393939394	nan	nan	nan	nan	nan	nan
39.8989898989899	nan	nan	nan	nan	nan	nan
40.40404040404041	nan	nan	nan	nan	nan	nan
40.909090909090914	nan	nan	nan	nan	nan	nan
41.41414141414142	nan	nan	nan	nan	nan	nan
41.919191919191924	nan	nan	nan	nan	nan	nan
42.42424242424243	nan	nan	nan	nan	nan	nan
42.929292929292934	nan	nan	nan	nan	nan	nan
43.43434343434344	nan	nan	nan	nan	nan	nan
43.939393939393945	nan	nan	nan	nan	nan	nan
44.44444444444445	nan	nan	nan	nan	nan	nan
44.949494949494955	nan	nan	nan	nan	nan	nan
45.45454545454546	nan	nan	nan	nan	nan	nan
45.959595959595966	nan	nan	nan	nan	nan	nan
46.46464646464647	nan	nan	nan	nan	nan	nan
46.969696969696976	nan	nan	nan	nan	nan	nan
47.47474747474748	nan	nan	nan	nan	nan	nan
47.979797979797986	nan	nan	nan	nan	nan	nan
48.484848484848484	nan	nan	nan	nan	nan	nan
48.98989898989899	nan	nan	nan	nan	nan	nan
49.494949494949495	nan	nan	nan	nan	nan	nan
50.0	nan	nan	nan	nan	nan	nan
