,,,Slide ID (1st chip),4E-BP1_pS65-R-V_GBL9026432,4E-BP1_pT37_T46-R-V_GBL9026591,ACC_pS79-R-V_GBL9026433,Akt_pS473-R-V_GBL9026436,Akt_pT308-R-V_GBL9026437,AMPK_pT172-R-V_GBL9026439,Bad_pS112-R-V_GBL9026440,c-Met_pY1235-R-V_GBL9026507,C-Raf_pS338-R-E_GBL9026456,Chk1_pS345-R-E_GBL9026525,Chk2_pT68-R-C_GBL9026452,EGFR_pY1068-R-C_GBL9026459,EGFR_pY1173-R-V_GBL9026461,ER-alpha_pS118-R-V_GBL9026463,GSK3-alpha-beta_pS21_S9-R-V_GBL9026467,GSK3_pS9-R-V_GBL9026538,HER2_pY1248-R-C_GBL9026468,HER3_pY1298-R-C_GBL9026508,JNK_pT183_pT185-R-V_GBL9026522,MAPK_pT202_Y204-R-V_GBL9026472,MEK1_pS217_S221-R-V_GBL9026588,mTOR_pS2448-R-E_GBL9026476,NDRG1_pT346-R-V_GBL9026606,NF-kB-p65_pS536-R-C_GBL9026478,p27_pT157-R-C_GBL9026587,p27_pT198-R-V_GBL9026521,p38_pT180_Y182-R-V_GBL9026480,p70S6K_pT389-R-V_GBL9026483,p90RSK_pT359_S363-R-C_GBL9026512,PDK1_pS241-R-V_GBL9026486,PEA15_pS116-R-V_GBL9026599,PKC-alpha_pS657-R-V_GBL9026488,PKC-delta_pS664-R-V_GBL9026596,PKC-pan_betaII_pS660-R-V_GBL9026610,PRAS40_pT246-R-V_GBL9026509,Rb_pS807_S811-R-V_GBL9026490,Rictor_pT1135-R-V_GBL9026609,S6_pS235_S236-R-V_GBL9026494,S6_pS240_S244-R-V_GBL9026495,Src_pY416-R-E_GBL9026496,Src_pY527-R-V_GBL9026497,STAT3_pY705-R-V_GBL9026498,TAZ_pS89-R-E_GBL9026552,YAP_pS127-R-C_GBL9026513,YB-1_pS102-R-V_GBL9026518
,,,Slide ID (2nd chip),4E-BP1_pS65-R-V_GBL9028254,4E-BP1_pT37_T46-R-V_GBL9028407,ACC_pS79-R-V_GBL9028255,Akt_pS473-R-V_GBL9028258,Akt_pT308-R-V_GBL9028259,AMPK_pT172-R-V_GBL9028261,Bad_pS112-R-V_GBL9028262,c-Met_pY1235-R-V_GBL9028327,C-Raf_pS338-R-E_GBL9028278,Chk1_pS345-R-E_GBL9028346,Chk2_pT68-R-C_GBL9028274,EGFR_pY1068-R-C_GBL9028281,EGFR_pY1173-R-V_GBL9028282,ER-alpha_pS118-R-V_GBL9028284,GSK3-alpha-beta_pS21_S9-R-V_GBL9028288,GSK3_pS9-R-V_GBL9028362,HER2_pY1248-R-C_GBL9028437,HER3_pY1298-R-C_GBL9028328,JNK_pT183_pT185-R-V_GBL9028343,MAPK_pT202_Y204-R-V_GBL9028293,MEK1_pS217_S221-R-V_GBL9028360,mTOR_pS2448-R-E_GBL9028297,NDRG1_pT346-R-V_GBL9028422,NF-kB-p65_pS536-R-C_GBL9028299,p27_pT157-R-C_GBL9028340,p27_pT198-R-V_GBL9028342,p38_pT180_Y182-R-V_GBL9028301,p70S6K_pT389-R-V_GBL9028304,p90RSK_pT359_S363-R-C_GBL9028332,PDK1_pS241-R-V_GBL9028307,PEA15_pS116-R-V_GBL9028415,PKC-alpha_pS657-R-V_GBL9028309,PKC-delta_pS664-R-V_GBL9028412,PKC-pan_betaII_pS660-R-V_GBL9028426,PRAS40_pT246-R-V_GBL9028329,Rb_pS807_S811-R-V_GBL9028311,Rictor_pT1135-R-V_GBL9028425,S6_pS235_S236-R-V_GBL9028314,S6_pS240_S244-R-V_GBL9028315,Src_pY416-R-E_GBL9028316,Src_pY527-R-V_GBL9028317,STAT3_pY705-R-V_GBL9028318,TAZ_pS89-R-E_GBL9028373,YAP_pS127-R-C_GBL9028333,YB-1_pS102-R-V_GBL9028339
,,,Antibody Name,4EBP1_pS65,4EBP1_pT37_pT46,ACC_pS79,AKT_pS473,AKT_pT308,AMPK_pT172,BAD_pS112,c-Met_pY1235,c-Raf_pS338,CHK1_pS345,CHK2_pT68,EGFR_pY1068,EGFR_pY1173,ER-alpha_pS118,GSK3-alpha-beta_pS21_S9,GSK3-alpha-beta_pS9,HER2_pY1248,HER3_pY1298,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,mTOR_pS2448,NDRG1_pT346,NF-kB-p65_pS536,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363,PDK1_pS241,PEA15_pS116,PKC-alpha_pS657,PKC-delta,PKC-pan-betaII_pS660,PRAS40_pT246,Rb_pS807_S811,Rictor_pT1135,S6_pS235_S236,S6_pS240_S244,Src_pY416,Src_pY527,STAT3_pY705,TAZ_pS89,YAP_pS127,YB-1_PS102
,,,HUGO ID,EIF4EBP1_pS65,EIF4EBP1_pT37_pT46,ACACA_pS79.ACACB_pS79,AKT1_pS473.AKT2_pS473.AKT3_pS473,AKT1_pT308.AKT2_pT308.AKT3_pT308,PRKAA1_pT172.PRKAA2_pT172,BAD_pS112,MET_pY1235,RAF1_pS338,CHEK1_pS345,CHEK2_pT68,EGFR_pY1068,EGFR_pY1173,ESR1_pS118,GSK3A_pS9_pS21.GSK3B_pS9_pS21,GSK3A_pS9.GSK3B_pS9,ERBB2_pY1248,ERBB3_pY1298,MAPK8_pT183_pT185,MAPK1_pT202_Y204.MAPK3_pT202_Y204,MAP2K1_pS217_S221,MTOR_pS2448,NDRG1_pT346,RELA_p65_pS536,CDKN1B_pT157,CDKN1B_pT198,MAPK14_pT180_Y182,RPS6KB1_pT389,RPS6KA1_pT359_S363,PDK1_pS241,PEA15_pS116,PRKCA_pS657,PRKCD,PRKCA_pS660.PRKCB_pS660.PRKCD_pS660.PRKCE_pS660.PRKCH_pS660.PRKCQ_pS660,AKT1S1_pT246,RB1_pS807_S811,RICTOR_pT1135,RPS6_pS235_S236,RPS6_pS240_S244,SRC_pY416,SRC_pY527,STAT3_pY705,WWTR1_pS89,YAP1_pS127,YBX1_PS102
Cell Line,Inhibitor,Stimulus,Timepoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UACC812,GSK690693,,0,2.6426263496,4.5299858681,0.6279850937,9.6175215284,6.893595301,3.5199156187,0.6599304751,0.5952446136,0.8539050895,0.7415914123,0.564905898,13.3249925643,1.4856580526,1.1762962934,3.246273407,1.8712012391,12.1058310082,1.8841256681,0.3290048471,0.6094530693,1.5434225047,0.9258456324,0.9319648389,1.1188003464,0.5066629325,1.1481519488,0.9478891323,1.4060242395,0.2627059105,3.0374634604,5.1168005486,0.2075036489,0.6894664492,1.5953442268,6.8337180022,4.3816196718,1.187632397,3.3225272779,3.99799298,2.1952176484,4.5320917977,0.2787226309,1.5823976604,3.170196918,0.5646818504
UACC812,GSK690693,,0,2.6568399943,4.16458018,0.718149689,10.7841071959,7.2751097928,4.024649466,0.7096288706,0.6249284854,0.8981634589,0.7373269362,0.5676578275,13.859886299,1.4824030813,1.3124899938,3.7486657028,2.2210090438,10.2171516937,2.0044783898,0.3472728961,0.6829357104,1.4766053464,1.2835294947,0.921186173,1.1354869524,0.5770141837,1.0558065314,0.9784032253,1.5466405329,0.2972417098,2.885566293,7.6207969334,0.190787742,0.6742267433,1.8094523569,6.9727279041,4.7842500967,1.4588180572,5.1933524403,5.9323311376,2.550170639,5.0549197495,0.2924110865,1.8155186855,3.1087010002,0.5254607059
UACC812,DMSO,,0,2.9958044684,4.6392538944,0.5684096687,3.0115607217,1.6604247428,3.1841118635,0.7931533882,0.612929354,0.8374815485,0.761729852,0.5505545218,15.7507992906,1.5667541989,1.179279525,4.2241201427,2.3369816196,12.7306963146,1.9590290862,0.3602889677,0.6749568201,1.5017651762,1.0631146834,1.1084951653,1.366181941,0.5443631377,1.1985138375,1.0725775816,2.0431312644,0.2957820092,2.6842127181,7.4350057784,0.1827673341,0.6699316848,1.6045288492,8.066936698,4.4813697188,1.5112272119,4.3991880131,5.7106348307,2.2996818017,4.1766295988,0.3041578948,1.6662289672,3.0351426572,0.6197279648
UACC812,DMSO,,0,2.8826145464,4.00494066,0.529298017,3.0500820414,1.5025453779,3.6352309268,0.818703109,0.6256994313,0.8400174584,0.8083345347,0.5713324105,12.1413810169,1.5691981549,1.1687645828,3.8796861222,2.2654666577,11.20141452,1.9946335004,0.3693433515,0.668585041,1.3427894173,1.1107461316,1.1539311607,1.3202726395,0.5272619438,1.1580500132,1.0463393258,2.1538054155,0.2886831495,2.6104619541,6.7846944362,0.1927554186,0.6626187633,1.6061052485,7.6929131592,4.2640683943,1.5876627421,4.9484593563,5.1533058962,2.0776445122,3.7309674401,0.284952586,1.6699633558,2.83007225,0.6189117481
UACC812,GSK690693,,0,2.687822263,3.9145611768,0.5883121098,10.867497442,6.6973304978,3.862516901,0.7815828822,0.6374089485,0.8957388744,0.8005642652,0.5954925107,12.5164919194,1.580287759,1.3102099034,3.1564821346,1.9010735456,10.8484590671,2.1267134056,0.3636334553,0.6807703678,1.1307299861,1.0759992547,1.0609383909,1.2610078497,0.5495172885,1.1486779899,1.0267045679,1.7771466829,0.2959761528,2.5827503391,4.7109814164,0.2176000192,0.71250739,1.6318148043,5.468238322,4.2586122184,1.385394459,3.9242335838,4.2237705466,2.272145272,3.5792415762,0.3064272686,1.5820887637,2.8367561349,0.5706344471
UACC812,GSK690693,,0,2.5089621825,3.7328018176,0.7518858084,11.1435407282,7.5300861242,4.864095592,0.7346970272,0.6541259866,0.9784274044,0.8082076426,0.6147484552,13.4704350485,1.6758020821,1.4770173083,3.7799738844,2.1951645704,10.8757090141,2.3037893516,0.3810602274,0.6327705311,1.2743082502,1.3312475913,0.8734958486,1.2623173032,0.5951753467,1.0623025813,0.9704820185,1.5748856774,0.279545902,2.7931870534,3.9848183428,0.2158187375,0.7061031678,1.8945139002,5.5644524036,4.9147254313,1.5396833145,4.1877729645,4.5234314325,2.5562614145,4.9291391397,0.2963362759,1.44176786,2.7940278433,0.5437602919
